NAICS  Code,Kind of Business,Jan. 2015,Feb. 2015,Mar. 2015,Apr. 2015,May 2015,Jun. 2015,Jul. 2015,Aug. 2015,Sep. 2015,Oct. 2015,Nov. 2015,Dec. 2015,TOTAL,
452,General merchandise stores,"49,843","49,471","55,122","52,865","57,963","54,675","55,412","57,313","52,193","56,241","62,188","76,852","680,138",
4521,Department stores,"10,843","11,265","13,222","12,379","13,732","12,619","12,625","13,740","12,099","13,033","16,423","23,094","165,074",
452111,Department stores(excl. discount department stores),"3,410","3,839","4,422","4,451","4,879","4,184","4,049","4,343","4,184","4,408","5,973","9,157","57,299",
452112,Discount dept. stores,"7,433","7,426","8,800","7,928","8,853","8,435","8,576","9,397","7,915","8,625","10,450","13,937","107,775",
4529,Other general merchandise stores,"39,000",38206,41900,"40,486","44,231","42,056","42,787","43,573","40,094","43,208","45,765","53,758","515,064",
45291,Warehouse clubs and superstores,"34,246","33,229","36,342","35,096","38,377","36,489","37,224","38,087","34,736","37,413","39,737","46,086","447,062",
45299,All other gen. merchandise stores,"4,754","4,977","5,558","5,390","5,854","5,567","5,563","5,486","5,358","5,795","6,028","7,672","68,002",
453,Miscellaneous store retailers,"8,566","8,436","9,285","9,373","10,900","10,394","10,354","10,386","9,686","10,276","9,680","11,154","118,490",
4532,"Office supplies, stationery, and gift stores","2,458","2,311","2,381","2,434","2,530","2,415","2,625","2,990","2,670","3,101","2,472","3,584","31,971",
45321,Office supplies and stationery stores,"1,414","1,206","1,179","1,146","1,087","1,039","1,140","1,557","1,289","1,124","1,048","1,255","14,484",
45322,"Gift, novelty, and souvenir stores","1,044","1,105","1,202","1,288","1,443","1,376","1,485","1,433","1,381","1,977","1,424","2,329","17,487",
45330,Used merchandise stores,"1,182","1,125","1,345","1,294","1,346","1,310","1,430","1,477","1,397","1,524","1,321","1,348","16,099",
454,Nonstore retailers,"39,035","37,502","41,105","39,138","37,973","38,554","39,159","38,411","39,353","40,944","46,411","60,776","498,361",
4541,Electronic shopping and mail-order houses,"30,801","29,056","33,099","32,556","32,212","32,740","33,452","33,055","33,618","34,577","40,199","53,781","419,146",
45431,Fuel dealers,"4,888","5,128","4,138","2,512","1,836","1,694","1,675","1,601","1,790","2,313","2,388","2,826","32,789",
722,Food services and drinking places,"48,089","46,736","53,263","52,412","55,541","52,138","53,200","53,202","50,763","54,025","50,184","54,546","624,099",
7224,Drinking places,"1,712","1,651","1,909","1,783","1,928","1,787","1,884","1,888","1,786","1,925","1,819","1,942","22,014",
7225,Restaurants and other eating places,"42,259","40,795","46,833","45,609","48,625","45,981","46,940","46,759","43,524","46,418","43,635","47,925","545,303",
722511,Full service restaurants,"22,141","21,339","24,154","22,950","24,763","22,908","23,258","23,344","21,584","23,333","21,976","24,848","276,598",
"722513, 722514, 722515",Limited service eating places,"20,118","19,456","22,679","22,659","23,862","23,073","23,682","23,415","21,940","23,085","21,659","23,077","268,705",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
