NAICS  Code,Kind of Business,Jan. 2014,Feb. 2014,Mar. 2014,Apr. 2014,May 2014,Jun. 2014,Jul. 2014,Aug. 2014,Sep. 2014,Oct. 2014,Nov. 2014,Dec. 2014,TOTAL,
44811,Men's clothing stores,593,660,729,815,834,733,684,722,726,793,841,"1,121","9,251",
44812,Women's clothing stores,"2,439","2,787","3,501","3,555","3,722","3,139","3,134","3,407","3,202","3,437","3,808","4,888","41,019",
44814,Family clothing stores,"5,695","6,246","7,780","7,914","8,270","7,478","8,121","8,540","7,425","8,291","9,862","12,284","97,906",
44819,Other clothing stores,"1,184","1,135","1,308","1,209","1,271","1,275","1,188","1,350","1,065","1,162","1,478","1,980","15,605",
4482,Shoe stores,"2,021","2,619","2,890","2,852","2,837","2,534","2,809","3,652","2,500","2,603","2,896","3,812","34,025",
44831,Jewelry stores,"1,900","2,608","2,156","2,303","2,871","2,205","2,171","2,278","2,086","2,225","2,587","5,757","31,147",
451,"Sporting goods, hobby, musical instrument, and book stores","5,966","5,357","6,244","6,171","6,416","6,451","6,498","8,105","6,666","6,398","7,658","11,721","83,651",
45111,Sporting goods stores,"2,720","2,801","3,550","3,517","3,678","3,931","3,839","4,382","3,516","3,432","3,897","5,832","45,095",
45112,"Hobby, toy, and game stores","1,020","1,091","1,221","1,204","1,178","1,088","1,186","1,189","1,254","1,358","2,140","3,507","17,436",
451211,Book stores,"1,479",727,680,679,789,698,702,"1,698","1,067",725,729,"1,335","11,308",
452,General merchandise stores,"47,523","49,093","54,213","53,043","57,191","54,165","53,958","57,401","50,987","54,994","62,264","75,782","670,614",
4521,Department stores,"10,625","11,630","13,278","13,111","14,031","13,019","12,739","14,190","12,169","13,213","16,864","23,909","168,778",
452111,Department stores(excl. discount department stores),"3,416","4,018","4,589","4,588","4,954","4,439","4,157","4,636","4,213","4,553","6,256","9,600","59,419",
452112,Discount dept. stores,"7,209","7,612","8,689","8,523","9,077","8,580","8,582","9,554","7,956","8,660","10,608","14,309","109,359",
4529,Other general merchandise stores,"36,898",37463,40935,"39,932","43,160","41,146","41,219","43,211","38,818","41,781","45,400","51,873","501,836",
45291,Warehouse clubs and superstores,"32,389","32,621","35,795","34,661","37,496","35,791","35,863","37,892","33,739","36,249","39,599","44,654","436,749",
45299,All other gen. merchandise stores,"4,509","4,842","5,140","5,271","5,664","5,355","5,356","5,319","5,079","5,532","5,801","7,219","65,087",
453,Miscellaneous store retailers,"8,094","8,173","8,929","8,974","10,564","9,706","9,866","10,112","9,666","10,507","9,574","11,128","115,293",
4532,"Office supplies, stationery, and gift stores","2,477","2,404","2,451","2,437","2,554","2,411","2,710","3,168","2,766","3,259","2,535","3,515","32,687",
45321,Office supplies and stationery stores,"1,474","1,280","1,337","1,249","1,192","1,080","1,241","1,679","1,375","1,233","1,149","1,372","15,661",
45322,"Gift, novelty, and souvenir stores","1,003","1,124","1,114","1,188","1,362","1,331","1,469","1,489","1,391","2,026","1,386","2,143","17,026",
45330,Used merchandise stores,"1,090","1,136","1,313","1,304","1,330","1,281","1,381","1,403","1,346","1,462","1,297","1,281","15,624",
454,Nonstore retailers,"37,481","34,852","37,550","35,921","35,901","35,240","35,936","35,917","36,663","39,004","42,629","57,088","464,182",
4541,Electronic shopping and mail-order houses,"27,458","25,698","29,047","29,021","29,441","29,340","29,985","29,993","30,474","31,992","35,481","49,078","377,008",
45431,Fuel dealers,"6,624","5,829","4,862","3,091","2,318","1,993","2,033","2,064","2,324","2,889","3,414","4,186","41,627",
722,Food services and drinking places,"42,930","42,896","49,410","47,703","51,058","47,901","48,708","50,117","47,121","50,204","47,692","50,862","576,602",
7224,Drinking places,"1,643","1,627","1,895","1,731","1,895","1,753","1,740","1,817","1,724","1,866","1,728","1,775","21,194",
7225,Restaurants and other eating places,"37,569","37,333","43,202","41,442","44,376","42,081","42,953","44,039","40,402","43,070","41,334","44,699","502,500",
722511,Full service restaurants,"19,602","19,645","22,458","20,921","22,551","20,896","21,263","22,102","20,117","21,536","21,056","23,290","255,437",
"722513, 722514, 722515",Limited service eating places,"17,967","17,688","20,744","20,521","21,825","21,185","21,690","21,937","20,285","21,534","20,278","21,409","247,063",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
