NAICS  Code,Kind of Business,Jan. 2016,Feb. 2016,Mar. 2016,Apr. 2016,May 2016,Jun. 2016,Jul. 2016,Aug. 2016,Sep. 2016,Oct. 2016,Nov. 2016,Dec. 2016,TOTAL,
"442,443","Furniture, home furn, electronics, and appliance stores","15,555","15,986","16,967","15,464","16,342","16,618","16,726","17,560","17,082","16,231","19,282","22,420","206,233",
442,Furniture and home furnishings stores,"8,297","8,507","9,402","8,734","9,139","9,252","9,313","9,706","9,667","9,175","10,079","10,989","112,260",
4421,Furniture stores,"4,599","4,818","5,197","4,716","4,997","5,029","5,028","5,135","5,292","4,903","5,281","5,299","60,294",
4422,Home furnishings stores,"3,698","3,689","4,205","4,018","4,142","4,223","4,285","4,571","4,375","4,272","4,798","5,690","51,966",
44221,Floor covering stores,"1,457","1,503","1,780","1,727","1,751","1,882","1,803","1,936","1,864","1,795","1,725","1,685","20,908",
442299,All other home furnishings stores,"2,130","2,075","2,283","2,141","2,268","2,212","2,348","2,513","2,366","2,340","2,947","3,884","29,507",
443,Electronics and appliance stores,"7,258","7,479","7,565","6,730","7,203","7,366","7,413","7,854","7,415","7,056","9,203","11,431","93,973",
443141,Household appliance stores,"1,246","1,348","1,411","1,334","1,462","1,544","1,499","1,506","1,517","1,395","1,645","1,631","17,538",
443142,Electronics stores,"6,012","6,131","6,154","5,396","5,741","5,822","5,914","6,348","5,898","5,661","7,558","9,800","76,435",
444,Building mat. and garden equip. and supplies dealers,"21,408","22,538","29,101","31,497","33,652","33,120","29,112","28,866","27,778","27,464","27,433","25,818","337,787",
4441,Building mat. and supplies dealers,"19,154","20,032","24,796","26,164","28,033","28,214","25,917","25,904","24,875","24,509","24,629","22,759","294,986",
44412,Paint and wallpaper stores,677,755,931,944,983,"1,091","1,000","1,066","1,000",946,847,753,"10,993",
44413,Hardware stores,"1,746","1,757","2,123","2,159","2,268","2,211","2,067","2,097","1,943","2,051","1,917","2,100","24,439",
445,Food and beverage stores,"56,931","54,145","58,086","56,266","59,242","58,521","59,851","58,627","57,448","58,744","59,198","65,103","702,162",
4451,Grocery stores,"51,810","48,747","52,254","50,543","53,053","52,332","53,382","52,474","51,405","52,655","52,772","56,444","627,871",
44511,Supermarkets and other grocery (except convenience) stores,"49,846","46,788","50,065","48,356","50,698","49,936","50,825","50,021","49,106","50,393","50,625","54,287","600,946",
4453,"Beer, wine, and liquor stores","3,488","3,642","3,907","3,966","4,242","4,307","4,572","4,307","4,260","4,261","4,488","5,812","51,252",
446,Health and personal care stores,"25,538","26,171","27,682","26,302","26,802","26,623","25,749","27,014","26,229","25,678","25,775","29,608","319,171",
44611,Pharmacies and drug stores,"21,680","21,895","23,016","22,120","22,536","22,135","21,595","22,392","21,619","21,493","21,241","23,791","265,513",
447,Gasoline stations,"31,048","28,987","33,586","35,277","38,808","40,062","39,752","38,755","37,924","38,978","35,812","37,154","436,143",
448,Clothing and clothing access. stores,"15,753","19,011","21,555","20,493","21,752","20,251","20,759","22,479","19,904","20,626","23,800","34,824","261,207",
4481,Clothing stores,"11,629","13,188","15,945","15,042","15,763","15,067","15,367","16,179","14,855","15,527","17,763","24,003","190,328",
44811,Men's clothing stores,604,672,767,792,839,783,686,729,747,759,805,"1,098","9,281",
44812,Women's clothing stores,"2,413","2,865","3,565","3,429","3,513","3,156","3,058","3,298","3,083","3,182","3,612","4,577","39,751",
44814,Family clothing stores,"6,055","6,842","8,448","7,971","8,458","8,181","8,666","8,796","8,049","8,666","9,732","13,365","103,229",
44819,Other clothing stores,"1,265","1,367","1,483","1,378","1,341","1,424","1,345","1,575","1,404","1,320","1,713","2,264","17,879",
4482,Shoe stores,"2,163","2,945","3,238","2,915","2,952","2,779","3,073","3,898","2,790","2,750","3,084","4,316","36,903",
44831,Jewelry stores,"1,769","2,637","2,129","2,276","2,768","2,189","2,088","2,181","2,042","2,123","2,705","6,050","30,957",
451,"Sporting goods, hobby, musical instrument, and book stores","6,427","5,844","6,923","6,499","6,695","7,214","6,913","7,792","6,733","6,291","7,594","11,441","86,366",
45111,Sporting goods stores,"3,104","3,235","4,075","3,792","3,939","4,631","4,314","4,302","3,587","3,395","3,870","5,837","48,081",
45112,"Hobby, toy, and game stores","1,191","1,221","1,374","1,250","1,243","1,188","1,239","1,239","1,315","1,428","2,234","3,432","18,354",
451211,Book stores,"1,424",687,681,671,741,677,652,"1,496","1,037",688,718,"1,244","10,716",
452,General merchandise stores,"49,678","51,619","56,375","53,822","56,662","55,680","55,976","56,578","52,143","55,817","61,665","76,698","682,713",
4521,Department stores,"10,199","11,074","12,568","11,647","12,238","12,296","11,850","12,735","11,409","11,934","14,892","21,358","154,200",
452111,Department stores(excl. discount department stores),"3,162","3,727","4,289","4,076","4,228","4,085","3,851","3,920","3,902","3,921","5,214","8,536","52,911",
452112,Discount dept. stores,"7,037","7,347","8,279","7,571","8,010","8,211","7,999","8,815","7,507","8,013","9,678","12,822","101,289",
4529,Other general merchandise stores,"39,479",40545,43807,"42,175","44,424","43,384","44,126","43,843","40,734","43,883","46,773","55,340","528,513",
45291,Warehouse clubs and superstores,"34,531","35,117","37,820","36,557","38,385","37,433","38,312","38,096","35,077","37,969","40,424","47,471","457,192",
45299,All other gen. merchandise stores,"4,948","5,428","5,987","5,618","6,039","5,951","5,814","5,747","5,657","5,914","6,349","7,869","71,321",
453,Miscellaneous store retailers,"8,335","8,665","9,714","9,789","10,937","10,451","10,055","10,404","10,184","10,572","10,078","11,485","120,669",
4532,"Office supplies, stationery, and gift stores","2,261","2,242","2,379","2,381","2,528","2,399","2,525","2,971","2,623","2,882","2,427","3,494","31,112",
45321,Office supplies and stationery stores,"1,215","1,104","1,136","1,065","1,026",949,991,"1,493","1,207",996,972,"1,129","13,283",
45322,"Gift, novelty, and souvenir stores","1,046","1,138","1,243","1,316","1,502","1,450","1,534","1,478","1,416","1,886","1,455","2,365","17,829",
45330,Used merchandise stores,"1,173","1,207","1,307","1,318","1,323","1,279","1,365","1,413","1,390","1,506","1,432","1,394","16,107",
454,Nonstore retailers,"40,319","40,443","43,853","41,619","43,195","42,919","41,149","44,061","43,006","43,921","52,894","66,466","543,845",
4541,Electronic shopping and mail-order houses,"33,172","33,394","37,066","35,531","37,026","36,914","35,762","38,405","37,147","37,651","46,353","58,607","467,028",
45431,Fuel dealers,"3,560","3,342","2,566","1,973","1,707","1,493","1,366","1,502","1,661","2,126","2,505","3,709","27,510",
722,Food services and drinking places,"50,021","51,471","55,860","56,355","57,069","54,676","56,069","55,241","54,369","55,818","53,360","57,614","657,923",
7224,Drinking places,"1,876","1,871","2,039","2,002","2,043","1,905","2,060","1,999","2,059","2,137","1,968","2,089","24,048",
7225,Restaurants and other eating places,"44,091","45,163","49,144","48,965","49,724","47,923","49,428","48,527","46,274","47,877","46,172","50,206","573,494",
722511,Full service restaurants,"22,883","23,401","24,876","24,833","24,915","23,574","24,313","23,732","22,801","23,766","22,844","25,997","287,935",
"722513, 722514, 722515",Limited service eating places,"21,208","21,762","24,268","24,132","24,809","24,349","25,115","24,795","23,473","24,111","23,328","24,209","285,559",
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
