NAICS  Code,Kind of Business,Jan. 2016,Feb. 2016,Mar. 2016,Apr. 2016,May 2016,Jun. 2016,Jul. 2016,Aug. 2016,Sep. 2016,Oct. 2016,Nov. 2016,Dec. 2016,TOTAL,
,"Retail and food services sales, total","401,911","415,093","460,910","451,121","470,116","464,721","462,004","471,690","448,516","453,155","467,232","539,667","5,506,136",
,Retail sales and food services excl motor vehicle and parts,"321,013","324,880","359,702","353,383","371,156","366,135","362,111","367,377","352,800","360,140","376,891","438,631","4,354,219",
,Retail sales and food services excl gasoline stations,"370,863","386,106","427,324","415,844","431,308","424,659","422,252","432,935","410,592","414,177","431,420","502,513","5,069,993",
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"289,965","295,893","326,116","318,106","332,348","326,073","322,359","328,622","314,876","321,162","341,079","401,477","3,918,076",
,"Retail sales, total","351,890","363,622","405,050","394,766","413,047","410,045","405,935","416,449","394,147","397,337","413,872","482,053","4,848,213",
,"Retail sales, total (excl. motor vehicle and parts dealers)","270,992","273,409","303,842","297,028","314,087","311,459","306,042","312,136","298,431","304,322","323,531","381,017","3,696,296",
,GAFO(1),"89,674","94,702","104,199","98,659","103,979","102,162","102,899","107,380","98,485","101,847","114,768","148,877","1,267,631",
441,Motor vehicle and parts dealers,"80,898","90,213","101,208","97,738","98,960","98,586","99,893","104,313","95,716","93,015","90,341","101,036","1,151,917",
"4411,4412",Automobile and other motor vehicle dealers,"73,975","82,909","93,030","90,067","91,172","90,426","92,147","96,100","88,025","85,223","82,873","93,364","1,059,311",
4411,Automobile dealers,"70,393","78,320","86,386","83,117","84,037","83,087","85,623","89,924","82,567","80,503","78,752","89,247","991,956",
44111,New car dealers,"62,569","67,800","76,194","73,798","75,336","73,973","76,669","80,417","73,954","71,517","70,724","80,614","883,565",
44112,Used car dealers,"7,824","10,520","10,192","9,319","8,701","9,114","8,954","9,507","8,613","8,986","8,028","8,633","108,391",
4413,"Automotive parts, acc., and tire stores","6,923","7,304","8,178","7,671","7,788","8,160","7,746","8,213","7,691","7,792","7,468","7,672","92,606",
