NAICS  Code,Kind of Business,Jan. 2013,Feb. 2013,Mar. 2013,Apr. 2013,May 2013,Jun. 2013,Jul. 2013,Aug. 2013,Sep. 2013,Oct. 2013,Nov. 2013,Dec. 2013,TOTAL,
,"Retail and food services sales, total","375,468","373,974","421,748","408,551","437,214","414,816","422,532","435,215","396,415","415,942","424,095","477,362","5,003,332",
,Retail sales and food services excl motor vehicle and parts,"306,084","300,849","337,976","326,887","350,308","332,014","336,255","346,249","320,614","336,805","348,340","398,778","4,041,159",
,Retail sales and food services excl gasoline stations,"333,706","331,745","374,018","361,736","388,019","366,330","372,707","385,652","350,343","369,425","381,698","434,190","4,449,569",
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"264,322","258,620","290,246","280,072","301,113","283,528","286,430","296,686","274,542","290,288","305,943","355,606","3,487,396",
,"Retail sales, total","333,663","332,471","374,171","362,978","389,709","369,355","377,031","388,299","352,749","369,868","378,800","430,754","4,459,848",
,"Retail sales, total (excl. motor vehicle and parts dealers)","264,279","259,346","290,399","281,314","302,803","286,553","290,754","299,333","276,948","290,731","303,045","352,170","3,497,675",
,GAFO(1),"86,297","89,304","100,628","92,422","100,605","96,807","96,603","104,854","93,006","98,325","112,537","142,384","1,213,772",
441,Motor vehicle and parts dealers,"69,384","73,125","83,772","81,664","86,906","82,802","86,277","88,966","75,801","79,137","75,755","78,584","962,173",
"4411,4412",Automobile and other motor vehicle dealers,"62,999","66,624","76,641","74,547","79,448","75,618","78,809","81,261","68,825","71,395","68,678","71,792","876,637",
4411,Automobile dealers,"59,981","63,193","71,700","69,013","73,193","69,762","73,343","75,873","64,594","67,373","65,195","68,648","821,868",
44111,New car dealers,"53,205","54,771","63,412","61,553","65,942","62,723","66,302","68,513","58,264","60,591","58,914","62,963","737,153",
44112,Used car dealers,"6,776","8,422","8,288","7,460","7,251","7,039","7,041","7,360","6,330","6,782","6,281","5,685","84,715",
4413,"Automotive parts, acc., and tire stores","6,385","6,501","7,131","7,117","7,458","7,184","7,468","7,705","6,976","7,742","7,077","6,792","85,536",
"442,443","Furniture, home furn, electronics, and appliance stores","15,471","15,361","16,179","14,692","15,752","15,457","16,078","16,906","15,744","16,139","19,244","22,247","199,270",
442,Furniture and home furnishings stores,"7,303","7,100","7,891","7,333","7,860","7,587","8,013","8,503","7,890","8,109","8,895","9,250","95,734",
4421,Furniture stores,"3,974","3,998","4,492","3,995","4,238","4,111","4,265","4,604","4,302","4,310","4,628","4,272","51,189",
4422,Home furnishings stores,"3,329","3,102","3,399","3,338","3,622","3,476","3,748","3,899","3,588","3,799","4,267","4,978","44,545",
44221,Floor covering stores,"1,209","1,181","1,301","1,304","1,443","1,419","1,518","1,604","1,494","1,559","1,492","1,359","16,883",
442299,All other home furnishings stores,"2,014","1,831","2,004","1,937","2,075","1,947","2,115","2,194","1,990","2,131","2,669","3,523","26,430",
443,Electronics and appliance stores,"8,168","8,261","8,288","7,359","7,892","7,870","8,065","8,403","7,854","8,030","10,349","12,997","103,536",
443141,Household appliance stores,"1,241","1,291","1,382","1,311","1,483","1,410","1,501","1,479","1,412","1,452","1,609","1,648","17,219",
443142,Electronics stores,"6,927","6,970","6,906","6,048","6,409","6,460","6,564","6,924","6,442","6,578","8,740","11,349","86,317",
444,Building mat. and garden equip. and supplies dealers,"19,284","18,638","23,118","28,750","32,626","27,664","27,370","26,001","24,177","26,000","23,747","22,186","299,561",
4441,Building mat. and supplies dealers,"17,033","16,372","19,735","23,775","26,416","23,379","23,878","23,012","21,382","22,833","20,828","19,049","257,692",
44412,Paint and wallpaper stores,659,624,738,832,906,862,921,935,822,834,683,595,"9,411",
44413,Hardware stores,"1,483","1,424","1,629","1,882","2,041","1,924","1,823","1,821","1,700","1,852","1,793","1,850","21,222",
445,Food and beverage stores,"51,652","48,596","54,260","50,388","55,266","53,261","54,534","55,121","51,749","53,747","54,764","58,208","641,546",
4451,Grocery stores,"47,095","43,863","48,910","45,367","49,615","47,840","48,871","49,387","46,601","48,396","49,026","50,505","575,476",
44511,Supermarkets and other grocery (except convenience) stores,"45,249","42,051","46,877","43,327","47,387","45,633","46,574","47,055","44,408","46,195","46,893","48,337","549,986",
4453,"Beer, wine, and liquor stores","3,143","3,212","3,603","3,464","3,916","3,776","3,994","4,056","3,588","3,741","4,007","5,147","45,647",
446,Health and personal care stores,"23,289","21,743","23,533","22,815","23,562","22,121","23,052","23,352","22,755","24,056","23,154","26,611","280,043",
44611,Pharmacies and drug stores,"19,799","18,170","19,552","19,075","19,692","18,422","19,324","19,401","19,047","20,286","19,361","21,849","233,978",
447,Gasoline stations,"41,762","42,229","47,730","46,815","49,195","48,486","49,825","49,563","46,072","46,517","42,397","43,172","553,763",
448,Clothing and clothing access. stores,"15,165","17,397","20,591","19,194","20,803","18,964","19,202","21,591","18,136","19,884","22,472","31,646","245,045",
4481,Clothing stores,"11,297","12,242","15,366","14,103","15,153","14,128","14,313","15,645","13,471","14,816","16,783","21,730","179,047",
44811,Men's clothing stores,603,566,690,728,761,691,662,704,699,807,821,"1,118","8,850",
44812,Women's clothing stores,"2,657","2,797","3,720","3,495","3,724","3,253","3,161","3,458","3,266","3,483","3,793","4,701","41,508",
44814,Family clothing stores,"5,655","6,309","7,971","7,293","7,981","7,485","7,857","8,365","7,070","8,000","9,283","11,994","95,263",
44819,Other clothing stores,"1,037","1,147","1,348","1,192","1,198","1,266","1,132","1,318","1,050","1,070","1,219","1,579","14,556",
4482,Shoe stores,"1,898","2,416","2,866","2,647","2,677","2,481","2,651","3,562","2,450","2,623","2,799","3,719","32,789",
44831,Jewelry stores,"1,792","2,545","2,144","2,244","2,719","2,137","2,018","2,149","2,001","2,232","2,657","5,781","30,419",
451,"Sporting goods, hobby, musical instrument, and book stores","6,526","5,586","6,622","5,952","6,377","6,500","6,445","7,711","6,333","6,053","7,531","11,150","82,786",
45111,Sporting goods stores,"3,071","3,015","3,831","3,427","3,656","3,953","3,818","4,158","3,229","3,160","3,748","5,511","44,577",
45112,"Hobby, toy, and game stores","1,029","1,079","1,250","1,117","1,127","1,067","1,118","1,156","1,172","1,351","2,156","3,298","16,920",
451211,Book stores,"1,660",742,707,664,821,724,705,"1,568","1,106",718,742,"1,323","11,480",
452,General merchandise stores,"46,639","48,542","54,707","50,122","54,971","53,381","52,095","55,384","50,059","53,095","60,571","74,009","653,575",
4521,Department stores,"11,307","12,042","13,922","12,562","14,037","13,339","12,611","14,159","12,517","13,332","16,905","23,827","170,560",
452111,Department stores(excl. discount department stores),"3,719","4,101","4,769","4,512","4,972","4,519","4,082","4,641","4,396","4,634","6,180","9,504","60,029",
452112,Discount dept. stores,"7,588","7,941","9,153","8,050","9,065","8,820","8,529","9,518","8,121","8,698","10,725","14,323","110,531",
4529,Other general merchandise stores,"35,332",36500,40785,"37,560","40,934","40,042","39,484","41,225","37,542","39,763","43,666","50,182","483,015",
45291,Warehouse clubs and superstores,"31,056","31,928","35,671","32,722","35,530","34,923","34,478","36,142","32,701","34,495","38,070","43,316","421,032",
45299,All other gen. merchandise stores,"4,276","4,572","5,114","4,838","5,404","5,119","5,006","5,083","4,841","5,268","5,596","6,866","61,983",
453,Miscellaneous store retailers,"8,078","8,159","8,901","8,909","10,318","9,263","9,353","9,856","9,270","10,044","9,480","10,471","112,102",
4532,"Office supplies, stationery, and gift stores","2,496","2,418","2,529","2,462","2,702","2,505","2,783","3,262","2,734","3,154","2,719","3,332","33,096",
45321,Office supplies and stationery stores,"1,544","1,367","1,363","1,302","1,257","1,151","1,290","1,783","1,419","1,304","1,309","1,459","16,548",
45322,"Gift, novelty, and souvenir stores",952,"1,051","1,166","1,160","1,445","1,354","1,493","1,479","1,315","1,850","1,410","1,873","16,548",
45330,Used merchandise stores,"1,173","1,142","1,270","1,198","1,265","1,237","1,300","1,391","1,221","1,416","1,317","1,220","15,150",
454,Nonstore retailers,"36,413","33,095","34,758","33,677","33,933","31,456","32,800","33,848","32,653","35,196","39,685","52,470","429,984",
4541,Electronic shopping and mail-order houses,"27,927","25,046","27,016","27,096","27,709","25,811","27,061","27,923","26,934","28,301","32,121","43,273","346,218",
45431,Fuel dealers,"5,017","4,633","4,016","2,875","2,199","1,783","1,900","1,974","2,232","3,014","3,738","5,256","38,637",
722,Food services and drinking places,"41,805","41,503","47,577","45,573","47,505","45,461","45,501","46,916","43,666","46,074","45,295","46,608","543,484",
7224,Drinking places,"1,692","1,672","2,020","1,764","1,844","1,714","1,707","1,795","1,710","1,818","1,773","1,722","21,231",
7225,Restaurants and other eating places,"36,471","36,042","41,455","39,287","41,186","39,908","40,100","41,016","37,362","39,267","38,945","40,635","471,674",
722511,Full service restaurants,"18,538","18,344","21,122","19,638","20,546","19,783","19,617","20,396","18,514","19,540","19,718","21,110","236,866",
"722513, 722514, 722515",Limited service eating places,"17,933","17,698","20,333","19,649","20,640","20,125","20,483","20,620","18,848","19,727","19,227","19,525","234,808",
